date,Sunrise/Sunset Sunrise Sunrise,Sunrise/Sunset Sunset Sunset,Daylength Length Length,Daylength Diff. Diff.,Astronomical Twilight Start Start,Astronomical Twilight End End,Nautical Twilight Start Start,Nautical Twilight End End,Civil Twilight Start Start,Civil Twilight End End,Solar Noon Time Time,Solar Noon Mil. mi Mil. mi
2024-04-27,5:49 am ↑ (66°),8:27 pm ↑ (294°),14:38:21,+3:36,3:26 am,10:52 pm,4:23 am,9:53 pm,5:11 am,9:05 pm,1:07 pm (52.6°),93.571
2024-04-28,5:47 am ↑ (66°),8:29 pm ↑ (295°),14:41:57,+3:35,3:23 am,10:55 pm,4:21 am,9:55 pm,5:09 am,9:07 pm,1:07 pm (53.0°),93.596
2024-04-29,5:45 am ↑ (65°),8:30 pm ↑ (295°),14:45:30,+3:33,3:19 am,10:58 pm,4:18 am,9:58 pm,5:07 am,9:08 pm,1:07 pm (53.3°),93.621
2024-04-30,5:43 am ↑ (64°),8:32 pm ↑ (296°),14:49:03,+3:32,3:16 am,11:01 pm,4:16 am,10:00 pm,5:05 am,9:10 pm,1:07 pm (53.6°),93.645
,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.
2024-05-01,5:41 am ↑ (64°),8:34 pm ↑ (296°),14:52:33,+3:30,3:12 am,11:05 pm,4:13 am,10:02 pm,5:03 am,9:12 pm,1:07 pm (53.9°),93.669
2024-05-02,5:39 am ↑ (63°),8:35 pm ↑ (297°),14:56:02,+3:28,3:08 am,11:08 pm,4:11 am,10:04 pm,5:01 am,9:14 pm,1:07 pm (54.2°),93.693
2024-05-03,5:37 am ↑ (63°),8:37 pm ↑ (297°),14:59:29,+3:27,3:05 am,11:12 pm,4:08 am,10:07 pm,4:59 am,9:16 pm,1:07 pm (54.5°),93.717
2024-05-04,5:36 am ↑ (62°),8:39 pm ↑ (298°),15:02:54,+3:25,3:01 am,11:15 pm,4:06 am,10:09 pm,4:57 am,9:18 pm,1:07 pm (54.7°),93.741
2024-05-05,5:34 am ↑ (62°),8:40 pm ↑ (298°),15:06:18,+3:23,2:57 am,11:19 pm,4:03 am,10:11 pm,4:55 am,9:20 pm,1:07 pm (55.0°),93.764
2024-05-06,5:32 am ↑ (61°),8:42 pm ↑ (299°),15:09:39,+3:21,2:54 am,11:22 pm,4:01 am,10:14 pm,4:53 am,9:21 pm,1:06 pm (55.3°),93.787
2024-05-07,5:30 am ↑ (61°),8:43 pm ↑ (299°),15:12:58,+3:19,2:50 am,11:26 pm,3:59 am,10:16 pm,4:51 am,9:23 pm,1:06 pm (55.6°),93.809
2024-05-08,5:29 am ↑ (60°),8:45 pm ↑ (300°),15:16:16,+3:17,2:46 am,11:30 pm,3:56 am,10:18 pm,4:49 am,9:25 pm,1:06 pm (55.9°),93.831
2024-05-09,5:27 am ↑ (60°),8:47 pm ↑ (300°),15:19:30,+3:14,2:42 am,11:34 pm,3:54 am,10:21 pm,4:47 am,9:27 pm,1:06 pm (56.1°),93.853
2024-05-10,5:25 am ↑ (60°),8:48 pm ↑ (301°),15:22:43,+3:12,2:38 am,11:38 pm,3:51 am,10:23 pm,4:45 am,9:29 pm,1:06 pm (56.4°),93.874
2024-05-11,5:24 am ↑ (59°),8:50 pm ↑ (301°),15:25:52,+3:09,2:33 am,11:43 pm,3:49 am,10:25 pm,4:43 am,9:30 pm,1:06 pm (56.6°),93.895
2024-05-12,5:22 am ↑ (59°),8:51 pm ↑ (302°),15:29:00,+3:07,2:29 am,11:47 pm,3:47 am,10:28 pm,4:41 am,9:32 pm,1:06 pm (56.9°),93.915
2024-05-13,5:21 am ↑ (58°),8:53 pm ↑ (302°),15:32:04,+3:04,2:25 am,11:52 pm,3:44 am,10:30 pm,4:40 am,9:34 pm,1:06 pm (57.1°),93.935
2024-05-14,5:19 am ↑ (58°),8:54 pm ↑ (303°),15:35:06,+3:01,2:20 am,11:57 pm,3:42 am,10:32 pm,4:38 am,9:36 pm,1:06 pm (57.4°),93.955
2024-05-15,5:18 am ↑ (57°),8:56 pm ↑ (303°),15:38:05,+2:58,2:15 am,-,3:40 am,10:35 pm,4:36 am,9:37 pm,1:06 pm (57.6°),93.975
2024-05-16,5:16 am ↑ (57°),8:57 pm ↑ (303°),15:41:00,+2:55,- 2:10 am,12:02 am -,3:37 am,10:37 pm,4:35 am,9:39 pm,1:06 pm (57.8°),93.994
2024-05-17,5:15 am ↑ (56°),8:59 pm ↑ (304°),15:43:53,+2:52,- 2:05 am,12:08 am -,3:35 am,10:39 pm,4:33 am,9:41 pm,1:06 pm (58.1°),94.013
2024-05-18,5:13 am ↑ (56°),9:00 pm ↑ (304°),15:46:42,+2:49,- 1:59 am,12:13 am -,3:33 am,10:41 pm,4:31 am,9:43 pm,1:06 pm (58.3°),94.031
2024-05-19,5:12 am ↑ (56°),9:02 pm ↑ (305°),15:49:28,+2:46,- 1:52 am,12:20 am -,3:31 am,10:44 pm,4:30 am,9:44 pm,1:06 pm (58.5°),94.050
2024-05-20,5:11 am ↑ (55°),9:03 pm ↑ (305°),15:52:11,+2:42,- 1:45 am,12:27 am -,3:29 am,10:46 pm,4:28 am,9:46 pm,1:06 pm (58.7°),94.068
2024-05-21,5:10 am ↑ (55°),9:04 pm ↑ (305°),15:54:50,+2:38,- 1:36 am,12:36 am -,3:27 am,10:48 pm,4:27 am,9:48 pm,1:06 pm (58.9°),94.086
2024-05-22,5:08 am ↑ (55°),9:06 pm ↑ (306°),15:57:25,+2:35,- 1:24 am,12:49 am -,3:24 am,10:50 pm,4:25 am,9:49 pm,1:07 pm (59.1°),94.104
2024-05-23,5:07 am ↑ (54°),9:07 pm ↑ (306°),15:59:56,+2:31,Rest of night,Rest of night,3:22 am,10:53 pm,4:24 am,9:51 pm,1:07 pm (59.3°),94.121
2024-05-24,5:06 am ↑ (54°),9:08 pm ↑ (306°),16:02:24,+2:27,Rest of night,Rest of night,3:20 am,10:55 pm,4:22 am,9:52 pm,1:07 pm (59.5°),94.138
2024-05-25,5:05 am ↑ (54°),9:10 pm ↑ (307°),16:04:48,+2:23,Rest of night,Rest of night,3:18 am,10:57 pm,4:21 am,9:54 pm,1:07 pm (59.6°),94.155
2024-05-26,5:04 am ↑ (53°),9:11 pm ↑ (307°),16:07:07,+2:19,Rest of night,Rest of night,3:16 am,10:59 pm,4:20 am,9:55 pm,1:07 pm (59.8°),94.172
2024-05-27,5:03 am ↑ (53°),9:12 pm ↑ (307°),16:09:22,+2:15,Rest of night,Rest of night,3:15 am,11:01 pm,4:18 am,9:57 pm,1:07 pm (60.0°),94.189
2024-05-28,5:02 am ↑ (53°),9:13 pm ↑ (308°),16:11:33,+2:10,Rest of night,Rest of night,3:13 am,11:03 pm,4:17 am,9:58 pm,1:07 pm (60.1°),94.205
2024-05-29,5:01 am ↑ (52°),9:15 pm ↑ (308°),16:13:39,+2:06,Rest of night,Rest of night,3:11 am,11:05 pm,4:16 am,10:00 pm,1:07 pm (60.3°),94.221
2024-05-30,5:00 am ↑ (52°),9:16 pm ↑ (308°),16:15:41,+2:01,Rest of night,Rest of night,3:09 am,11:07 pm,4:15 am,10:01 pm,1:07 pm (60.4°),94.237
2024-05-31,4:59 am ↑ (52°),9:17 pm ↑ (308°),16:17:38,+1:57,Rest of night,Rest of night,3:08 am,11:09 pm,4:14 am,10:02 pm,1:08 pm (60.6°),94.252
,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.
2024-06-01,4:58 am ↑ (52°),9:18 pm ↑ (309°),16:19:31,+1:52,Rest of night,Rest of night,3:06 am,11:11 pm,4:13 am,10:03 pm,1:08 pm (60.7°),94.267
2024-06-02,4:58 am ↑ (51°),9:19 pm ↑ (309°),16:21:18,+1:47,Rest of night,Rest of night,3:04 am,11:13 pm,4:12 am,10:05 pm,1:08 pm (60.8°),94.281
2024-06-03,4:57 am ↑ (51°),9:20 pm ↑ (309°),16:23:00,+1:42,Rest of night,Rest of night,3:03 am,11:15 pm,4:11 am,10:06 pm,1:08 pm (61.0°),94.295
2024-06-04,4:56 am ↑ (51°),9:21 pm ↑ (309°),16:24:37,+1:37,Rest of night,Rest of night,3:01 am,11:16 pm,4:10 am,10:07 pm,1:08 pm (61.1°),94.309
2024-06-05,4:56 am ↑ (51°),9:22 pm ↑ (310°),16:26:09,+1:31,Rest of night,Rest of night,3:00 am,11:18 pm,4:09 am,10:08 pm,1:08 pm (61.2°),94.322
2024-06-06,4:55 am ↑ (50°),9:23 pm ↑ (310°),16:27:36,+1:26,Rest of night,Rest of night,2:59 am,11:20 pm,4:09 am,10:09 pm,1:09 pm (61.3°),94.334
2024-06-07,4:55 am ↑ (50°),9:24 pm ↑ (310°),16:28:57,+1:21,Rest of night,Rest of night,2:58 am,11:21 pm,4:08 am,10:10 pm,1:09 pm (61.4°),94.346
2024-06-08,4:54 am ↑ (50°),9:24 pm ↑ (310°),16:30:13,+1:15,Rest of night,Rest of night,2:57 am,11:23 pm,4:07 am,10:11 pm,1:09 pm (61.5°),94.358
2024-06-09,4:54 am ↑ (50°),9:25 pm ↑ (310°),16:31:23,+1:10,Rest of night,Rest of night,2:56 am,11:24 pm,4:07 am,10:12 pm,1:09 pm (61.5°),94.369
2024-06-10,4:53 am ↑ (50°),9:26 pm ↑ (310°),16:32:27,+1:04,Rest of night,Rest of night,2:55 am,11:25 pm,4:06 am,10:13 pm,1:09 pm (61.6°),94.379
2024-06-11,4:53 am ↑ (50°),9:27 pm ↑ (310°),16:33:26,+0:58,Rest of night,Rest of night,2:54 am,11:26 pm,4:06 am,10:14 pm,1:10 pm (61.7°),94.389
2024-06-12,4:53 am ↑ (49°),9:27 pm ↑ (311°),16:34:19,+0:52,Rest of night,Rest of night,2:53 am,11:27 pm,4:06 am,10:14 pm,1:10 pm (61.7°),94.398
2024-06-13,4:53 am ↑ (49°),9:28 pm ↑ (311°),16:35:06,+0:47,Rest of night,Rest of night,2:52 am,11:28 pm,4:05 am,10:15 pm,1:10 pm (61.8°),94.407
2024-06-14,4:52 am ↑ (49°),9:28 pm ↑ (311°),16:35:47,+0:41,Rest of night,Rest of night,2:52 am,11:29 pm,4:05 am,10:16 pm,1:10 pm (61.8°),94.416
2024-06-15,4:52 am ↑ (49°),9:29 pm ↑ (311°),16:36:22,+0:35,Rest of night,Rest of night,2:51 am,11:30 pm,4:05 am,10:16 pm,1:10 pm (61.9°),94.424
2024-06-16,4:52 am ↑ (49°),9:29 pm ↑ (311°),16:36:52,+0:29,Rest of night,Rest of night,2:51 am,11:31 pm,4:05 am,10:17 pm,1:11 pm (61.9°),94.432
2024-06-17,4:52 am ↑ (49°),9:30 pm ↑ (311°),16:37:15,+0:23,Rest of night,Rest of night,2:51 am,11:31 pm,4:05 am,10:17 pm,1:11 pm (61.9°),94.439
2024-06-18,4:52 am ↑ (49°),9:30 pm ↑ (311°),16:37:32,+0:17,Rest of night,Rest of night,2:51 am,11:32 pm,4:05 am,10:18 pm,1:11 pm (62.0°),94.446
2024-06-19,4:53 am ↑ (49°),9:30 pm ↑ (311°),16:37:43,+0:11,Rest of night,Rest of night,2:51 am,11:32 pm,4:05 am,10:18 pm,1:11 pm (62.0°),94.453
2024-06-20,4:53 am ↑ (49°),9:30 pm ↑ (311°),16:37:48,+0:05,Rest of night,Rest of night,2:51 am,11:32 pm,4:05 am,10:18 pm,1:12 pm (62.0°),94.459
2024-06-21,4:53 am ↑ (49°),9:31 pm ↑ (311°),16:37:48,< 1s,Rest of night,Rest of night,2:51 am,11:33 pm,4:05 am,10:18 pm,1:12 pm (62.0°),94.465
2024-06-22,4:53 am ↑ (49°),9:31 pm ↑ (311°),16:37:41,−0:06,Rest of night,Rest of night,2:51 am,11:33 pm,4:05 am,10:18 pm,1:12 pm (62.0°),94.471
2024-06-23,4:53 am ↑ (49°),9:31 pm ↑ (311°),16:37:28,−0:12,Rest of night,Rest of night,2:52 am,11:33 pm,4:06 am,10:19 pm,1:12 pm (62.0°),94.476
2024-06-24,4:54 am ↑ (49°),9:31 pm ↑ (311°),16:37:09,−0:18,Rest of night,Rest of night,2:52 am,11:32 pm,4:06 am,10:19 pm,1:12 pm (61.9°),94.481
2024-06-25,4:54 am ↑ (49°),9:31 pm ↑ (311°),16:36:44,−0:24,Rest of night,Rest of night,2:53 am,11:32 pm,4:07 am,10:18 pm,1:13 pm (61.9°),94.486
2024-06-26,4:55 am ↑ (49°),9:31 pm ↑ (311°),16:36:13,−0:30,Rest of night,Rest of night,2:53 am,11:32 pm,4:07 am,10:18 pm,1:13 pm (61.9°),94.491
2024-06-27,4:55 am ↑ (49°),9:31 pm ↑ (311°),16:35:36,−0:36,Rest of night,Rest of night,2:54 am,11:31 pm,4:08 am,10:18 pm,1:13 pm (61.8°),94.495
2024-06-28,4:56 am ↑ (49°),9:31 pm ↑ (311°),16:34:53,−0:42,Rest of night,Rest of night,2:55 am,11:31 pm,4:08 am,10:18 pm,1:13 pm (61.8°),94.498
2024-06-29,4:56 am ↑ (49°),9:30 pm ↑ (310°),16:34:05,−0:48,Rest of night,Rest of night,2:56 am,11:30 pm,4:09 am,10:18 pm,1:13 pm (61.7°),94.502
2024-06-30,4:57 am ↑ (50°),9:30 pm ↑ (310°),16:33:10,−0:54,Rest of night,Rest of night,2:57 am,11:29 pm,4:10 am,10:17 pm,1:14 pm (61.7°),94.504
,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.
2024-07-01,4:58 am ↑ (50°),9:30 pm ↑ (310°),16:32:10,−1:00,Rest of night,Rest of night,2:58 am,11:28 pm,4:11 am,10:17 pm,1:14 pm (61.6°),94.507
2024-07-02,4:58 am ↑ (50°),9:29 pm ↑ (310°),16:31:04,−1:05,Rest of night,Rest of night,3:00 am,11:27 pm,4:11 am,10:16 pm,1:14 pm (61.5°),94.508
2024-07-03,4:59 am ↑ (50°),9:29 pm ↑ (310°),16:29:53,−1:11,Rest of night,Rest of night,3:01 am,11:26 pm,4:12 am,10:16 pm,1:14 pm (61.4°),94.510
2024-07-04,5:00 am ↑ (50°),9:28 pm ↑ (310°),16:28:36,−1:16,Rest of night,Rest of night,3:02 am,11:25 pm,4:13 am,10:15 pm,1:14 pm (61.4°),94.510
2024-07-05,5:01 am ↑ (50°),9:28 pm ↑ (310°),16:27:14,−1:22,Rest of night,Rest of night,3:04 am,11:24 pm,4:14 am,10:14 pm,1:15 pm (61.3°),94.511
2024-07-06,5:02 am ↑ (51°),9:27 pm ↑ (309°),16:25:46,−1:27,Rest of night,Rest of night,3:06 am,11:23 pm,4:15 am,10:14 pm,1:15 pm (61.2°),94.510
2024-07-07,5:03 am ↑ (51°),9:27 pm ↑ (309°),16:24:13,−1:32,Rest of night,Rest of night,3:07 am,11:21 pm,4:16 am,10:13 pm,1:15 pm (61.0°),94.509
2024-07-08,5:03 am ↑ (51°),9:26 pm ↑ (309°),16:22:35,−1:38,Rest of night,Rest of night,3:09 am,11:20 pm,4:17 am,10:12 pm,1:15 pm (60.9°),94.507
2024-07-09,5:04 am ↑ (51°),9:25 pm ↑ (309°),16:20:52,−1:43,Rest of night,Rest of night,3:11 am,11:18 pm,4:19 am,10:11 pm,1:15 pm (60.8°),94.505
2024-07-10,5:05 am ↑ (51°),9:25 pm ↑ (308°),16:19:04,−1:47,Rest of night,Rest of night,3:12 am,11:17 pm,4:20 am,10:10 pm,1:15 pm (60.7°),94.503
2024-07-11,5:07 am ↑ (52°),9:24 pm ↑ (308°),16:17:11,−1:52,Rest of night,Rest of night,3:14 am,11:15 pm,4:21 am,10:09 pm,1:15 pm (60.5°),94.499
2024-07-12,5:08 am ↑ (52°),9:23 pm ↑ (308°),16:15:14,−1:57,Rest of night,Rest of night,3:16 am,11:13 pm,4:22 am,10:08 pm,1:16 pm (60.4°),94.496
2024-07-13,5:09 am ↑ (52°),9:22 pm ↑ (308°),16:13:11,−2:02,Rest of night,Rest of night,3:18 am,11:12 pm,4:24 am,10:07 pm,1:16 pm (60.3°),94.492
2024-07-14,5:10 am ↑ (52°),9:21 pm ↑ (307°),16:11:05,−2:06,Rest of night,Rest of night,3:20 am,11:10 pm,4:25 am,10:06 pm,1:16 pm (60.1°),94.487
2024-07-15,5:11 am ↑ (53°),9:20 pm ↑ (307°),16:08:54,−2:11,Rest of night,Rest of night,3:22 am,11:08 pm,4:27 am,10:04 pm,1:16 pm (59.9°),94.482
2024-07-16,5:12 am ↑ (53°),9:19 pm ↑ (307°),16:06:38,−2:15,Rest of night,Rest of night,3:24 am,11:06 pm,4:28 am,10:03 pm,1:16 pm (59.8°),94.477
2024-07-17,5:14 am ↑ (53°),9:18 pm ↑ (306°),16:04:19,−2:19,Rest of night,Rest of night,3:26 am,11:04 pm,4:29 am,10:02 pm,1:16 pm (59.6°),94.471
2024-07-18,5:15 am ↑ (54°),9:17 pm ↑ (306°),16:01:56,−2:23,Rest of night,Rest of night,3:28 am,11:02 pm,4:31 am,10:00 pm,1:16 pm (59.4°),94.465
2024-07-19,5:16 am ↑ (54°),9:16 pm ↑ (306°),15:59:28,−2:27,Rest of night,Rest of night,3:31 am,11:00 pm,4:32 am,9:59 pm,1:16 pm (59.2°),94.458
2024-07-20,5:17 am ↑ (54°),9:14 pm ↑ (305°),15:56:57,−2:31,Rest of night,Rest of night,3:33 am,10:58 pm,4:34 am,9:57 pm,1:16 pm (59.1°),94.451
2024-07-21,5:19 am ↑ (55°),9:13 pm ↑ (305°),15:54:22,−2:34,- 1:37 am,12:56 am -,3:35 am,10:56 pm,4:36 am,9:56 pm,1:16 pm (58.9°),94.444
2024-07-22,5:20 am ↑ (55°),9:12 pm ↑ (305°),15:51:44,−2:38,- 1:48 am,12:45 am -,3:37 am,10:54 pm,4:37 am,9:54 pm,1:16 pm (58.7°),94.437
2024-07-23,5:21 am ↑ (56°),9:10 pm ↑ (304°),15:49:02,−2:41,- 1:57 am,12:37 am -,3:39 am,10:52 pm,4:39 am,9:53 pm,1:16 pm (58.5°),94.429
2024-07-24,5:23 am ↑ (56°),9:09 pm ↑ (304°),15:46:17,−2:45,- 2:04 am,12:30 am -,3:42 am,10:49 pm,4:40 am,9:51 pm,1:16 pm (58.2°),94.421
2024-07-25,5:24 am ↑ (56°),9:08 pm ↑ (303°),15:43:29,−2:48,- 2:10 am,12:23 am -,3:44 am,10:47 pm,4:42 am,9:50 pm,1:16 pm (58.0°),94.413
2024-07-26,5:26 am ↑ (57°),9:06 pm ↑ (303°),15:40:37,−2:51,- 2:16 am,12:17 am -,3:46 am,10:45 pm,4:44 am,9:48 pm,1:16 pm (57.8°),94.404
2024-07-27,5:27 am ↑ (57°),9:05 pm ↑ (303°),15:37:43,−2:54,- 2:21 am,12:12 am -,3:48 am,10:43 pm,4:45 am,9:46 pm,1:16 pm (57.6°),94.395
2024-07-28,5:28 am ↑ (58°),9:03 pm ↑ (302°),15:34:45,−2:57,- 2:26 am,12:07 am -,3:51 am,10:40 pm,4:47 am,9:44 pm,1:16 pm (57.3°),94.386
2024-07-29,5:30 am ↑ (58°),9:02 pm ↑ (302°),15:31:45,−3:00,- 2:31 am,12:02 am - 11:58 pm,3:53 am,10:38 pm,4:49 am,9:43 pm,1:16 pm (57.1°),94.376
2024-07-30,5:31 am ↑ (58°),9:00 pm ↑ (301°),15:28:42,−3:03,2:36 am,11:53 pm,3:55 am,10:36 pm,4:50 am,9:41 pm,1:16 pm (56.9°),94.366
2024-07-31,5:33 am ↑ (59°),8:59 pm ↑ (301°),15:25:37,−3:05,2:40 am,11:49 pm,3:57 am,10:33 pm,4:52 am,9:39 pm,1:16 pm (56.6°),94.355
,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.,* All times are local time for Bristol. Time is adjusted for DST when applicable. They take into account refraction. Dates are based on the Gregorian calendar.
2024-08-01,5:34 am ↑ (59°),8:57 pm ↑ (300°),15:22:28,−3:08,2:44 am,11:44 pm,4:00 am,10:31 pm,4:54 am,9:37 pm,1:16 pm (56.4°),94.344
2024-08-02,5:36 am ↑ (60°),8:55 pm ↑ (300°),15:19:18,−3:10,2:48 am,11:40 pm,4:02 am,10:28 pm,4:56 am,9:35 pm,1:16 pm (56.1°),94.332
2024-08-03,5:37 am ↑ (60°),8:54 pm ↑ (300°),15:16:05,−3:12,2:52 am,11:36 pm,4:04 am,10:26 pm,4:57 am,9:33 pm,1:16 pm (55.8°),94.320
2024-08-04,5:39 am ↑ (61°),8:52 pm ↑ (299°),15:12:50,−3:15,2:56 am,11:32 pm,4:06 am,10:24 pm,4:59 am,9:31 pm,1:16 pm (55.6°),94.307
2024-08-05,5:41 am ↑ (61°),8:50 pm ↑ (299°),15:09:33,−3:17,3:00 am,11:29 pm,4:09 am,10:21 pm,5:01 am,9:29 pm,1:16 pm (55.3°),94.294
2024-08-06,5:42 am ↑ (62°),8:48 pm ↑ (298°),15:06:14,−3:19,3:04 am,11:25 pm,4:11 am,10:19 pm,5:03 am,9:27 pm,1:16 pm (55.0°),94.280
2024-08-07,5:44 am ↑ (62°),8:47 pm ↑ (298°),15:02:52,−3:21,3:07 am,11:21 pm,4:13 am,10:16 pm,5:04 am,9:25 pm,1:16 pm (54.7°),94.266
2024-08-08,5:45 am ↑ (63°),8:45 pm ↑ (297°),14:59:29,−3:23,3:11 am,11:17 pm,4:15 am,10:14 pm,5:06 am,9:23 pm,1:15 pm (54.5°),94.251
2024-08-09,5:47 am ↑ (63°),8:43 pm ↑ (297°),14:56:05,−3:24,3:14 am,11:14 pm,4:18 am,10:11 pm,5:08 am,9:21 pm,1:15 pm (54.2°),94.236
2024-08-10,5:48 am ↑ (64°),8:41 pm ↑ (296°),14:52:38,−3:26,3:17 am,11:10 pm,4:20 am,10:09 pm,5:10 am,9:19 pm,1:15 pm (53.9°),94.220
2024-08-11,5:50 am ↑ (64°),8:39 pm ↑ (296°),14:49:10,−3:28,3:21 am,11:07 pm,4:22 am,10:06 pm,5:12 am,9:17 pm,1:15 pm (53.6°),94.204
2024-08-12,5:51 am ↑ (65°),8:37 pm ↑ (295°),14:45:40,−3:29,3:24 am,11:03 pm,4:24 am,10:04 pm,5:13 am,9:15 pm,1:15 pm (53.3°),94.188
2024-08-13,5:53 am ↑ (65°),8:35 pm ↑ (295°),14:42:09,−3:31,3:27 am,11:00 pm,4:26 am,10:01 pm,5:15 am,9:13 pm,1:15 pm (53.0°),94.171
2024-08-14,5:55 am ↑ (66°),8:33 pm ↑ (294°),14:38:37,−3:32,3:30 am,10:56 pm,4:29 am,9:59 pm,5:17 am,9:11 pm,1:14 pm (52.7°),94.154
2024-08-15,5:56 am ↑ (66°),8:31 pm ↑ (293°),14:35:03,−3:33,3:33 am,10:53 pm,4:31 am,9:56 pm,5:19 am,9:09 pm,1:14 pm (52.4°),94.137
2024-08-16,5:58 am ↑ (67°),8:29 pm ↑ (293°),14:31:28,−3:35,3:36 am,10:49 pm,4:33 am,9:53 pm,5:20 am,9:06 pm,1:14 pm (52.0°),94.119
2024-08-17,5:59 am ↑ (67°),8:27 pm ↑ (292°),14:27:52,−3:36,3:39 am,10:46 pm,4:35 am,9:51 pm,5:22 am,9:04 pm,1:14 pm (51.7°),94.101
