OBJECTID,SiteID,Location,Year,Count,Historical_annual_data,NO2 2024,Annual mean NO2 concentration μg m3,Survey,Current_,x,y
479,652,Whitehall Rd-CAZ-Lamppost by house,2022,11,"2021: 41.5, 2022: 37, 2023: 33.3, 2024: 30.4",,37,CAZ,Yes,-285094.837359283,6703389.73226116
480,642,Ashley Road-CAZ-Lamppost opp Drumd Rd,2022,12,"2021: 28.9, 2022: 24.6, 2023: 24.9, 2024: 22.7",,24.6,CAZ,No,-288052.425548955,6703943.24322785
481,636,Bath Rd-CAZ-Lamppost by Bus Lane,2022,12,"2021: 26.2, 2022: 25.5, 2023: 22.1, 2024: 21",,25.5,CAZ,No,-286959.15307169,6700230.16452906
482,631,Bedminster Down Rd-CAZ-Roadsign by Winterstoke,2022,11,"2021: 24.8, 2022: 25.9, 2023: 22.6",,25.9,CAZ,No,-290484.674971752,6698309.93748458
483,619,Cheltenham Rd-CAZ-Lamppost by Bite,2022,11,"2021: 34.7, 2022: 38.2, 2023: 35.2, 2024: 32.1",,38.2,CAZ,Yes,-288303.920158055,6703931.57551177
484,677,Beaufort Road Opposite No 109,2022,10,"2022: 21.4, 2023: 17.6, 2024: 15.2",,21.4,Liveable Neighbourhoods,Yes,-283509.659537915,6702685.26391766
485,665,Upper Maudlin St-CAZ-Lamppost opp BRI,2022,12,"2021: 37.6, 2022: 37.1, 2023: 31.6, 2024: 23.5",,37.1,CAZ,Yes,-289005.663145548,6702730.60651535
486,661,Linden Rd-CAZ-Lamppost by house,2022,12,"2021: 23.3, 2022: 22, 2023: 20.2, 2024: 18.3",,22,CAZ,Yes,-290081.352645409,6706296.83285128
487,657,Fishponds Rd-CAZ-Lamppost,2022,12,"2021: 29.2, 2022: 33.5, 2023: 24.9, 2024: 23.9",,33.5,CAZ,Yes,-284218.487148451,6705535.02282359
488,629,Lower Ashley Rd-CAZ-Lamppost opp London Rd,2022,11,"2021: 38.9, 2022: 34.8, 2023: 34.6, 2024: 26.7",,34.8,CAZ,Yes,-286964.823086945,6704207.38663853
489,623,Bedminster Rd-CAZ-Lamppost by school,2022,11,"2021: 30.6, 2022: 28.4, 2023: 25.6, 2024: 23.3",,28.4,CAZ,Yes,-289995.522979741,6698220.88132186
490,618,Cheltenham Rd-CAZ-Sign opp Tesco,2022,12,"2021: 33.8, 2022: 31.5, 2023: 30.8, 2024: 30.9",,31.5,CAZ,Yes,-288357.289277508,6703992.19763485
491,596,Park Row-CAZ-Lamppost by museum,2022,11,"2021: 30, 2022: 31.2, 2023: 25.4, 2024: 22.9",,31.2,CAZ,Yes,-289392.843236105,6702269.61713787
492,594,Lower Park Row-CAZ-Post by Art shop,2022,12,"2021: 34.1, 2022: 34.1, 2023: 26.6, 2024: 23.5",,34.1,CAZ,Yes,-289219.712773787,6702454.16156801
493,583,Rupert St-CAZ-Post outside police station,2022,8,"2021: 42.3, 2022: 37.9, 2023: 39.1, 2024: 36.6",,37.9,CAZ,Yes,-288692.403677584,6702628.74061907
494,581,Marlborough St-CAZ-Lamppost by coach station,2022,11,"2021: 40.8, 2022: 39.1, 2023: 30.4, 2024: 29",,39.1,CAZ,Yes,-288634.558951011,6703005.11864684
495,569,Lampost on North corner of Draycott road junction with Muller road.,2022,12,"2019: 31.4, 2020: 22.8, 2021: 24.1, 2022: 24.1, 2023: 21.3, 2024: 21.4",,24.1,,No,-287150.416060161,6707214.2389884
496,561,Lamppost opposite BRI CAZ,2022,24,"2019: 47, 2020: 33.8, 2021: 36.7, 2022: 34.8, 2023: 24.7, 2024: 25.7",,34.8,CAZ,Yes,-288985.174522769,6702772.54100723
497,555,420 Hotwell Road A4,2022,12,"2019: 32, 2020: 26.5, 2021: 28, 2022: 28, 2023: 19.3, 2024: 17.8",,28,2019,No,-292192.346360895,6701393.22836191
498,10,Bath Road,2022,12,"2010: 68.2, 2011: 62.3, 2012: 58.4, 2013: 61.5, 2014: 50.1, 2015: 49.3, 2016: 54.5, 2017: 51.6, 2018: 51.5, 2019: 42.2, 2020: 33.6, 2021: 36.8, 2022: 35.9, 2023: 30.7, 2024: 30.3",,35.9,Roadside (DT),Yes,-284908.842563162,6699589.32161916
499,12,Galleries,2022,11,"2010: 58.2, 2011: 55.2, 2012: 50.8, 2013: 56.7, 2014: 51.3, 2015: 52.5, 2016: 52.8, 2017: 56.6, 2018: 57.5, 2019: 51.8, 2020: 41.9, 2021: 46.5, 2022: 50.2, 2023: 60.2, 2024: 35.3",,50.2,Roadside (DT),Yes,-288254.965440197,6702425.05893974
500,147,Anchor Road,2022,12,"2010: 65.6, 2011: 66.4, 2012: 60.6, 2013: 60.2, 2014: 57, 2015: 60.1, 2016: 56.9, 2017: 61.5, 2018: 56.6, 2019: 50.9, 2020: 39.4, 2021: 43.3, 2022: 45.5, 2023: 39.5, 2024: 36.3",,45.5,harbourside (DT),Yes,-289254.257300207,6701581.66334233
501,161,Bishop Road,2022,12,"2010: 52.9, 2011: 47.4, 2012: 41.6, 2013: 41.8, 2014: 41.3, 2015: 43.7, 2016: 41.7, 2017: 38.8, 2018: 38, 2019: 31.7, 2020: 25.3, 2021: 27.4, 2022: 26, 2023: 25.6, 2024: 26.5",,26,gloucester road showcase route (DT),Yes,-288271.484099739,6706477.18610887
502,242,Parson Street Bedminster Down Road,2022,11,"2010: 80.3, 2011: 75.5, 2012: 73.9, 2013: 75.1, 2014: 56.2, 2015: 61.7, 2016: 68.4, 2017: 56, 2018: 51.1, 2019: 41, 2020: 32.2, 2021: 34.5, 2022: 36.6, 2023: 29.8, 2024: 28",,36.6,Roadside Stage 4 (DT),Yes,-290831.882346175,6697891.20245718
503,417,St John's Lane No 26 lamppost 15 (just past roundabout),2022,12,"2010: 51.3, 2011: 45.6, 2012: 44.1, 2013: 42.1, 2014: 40.8, 2015: 43.6, 2016: 43.4, 2017: 35.2, 2018: 36, 2019: 31, 2020: 26.3, 2021: 27.9, 2022: 27, 2023: 22.7, 2024: 20.9",,27,Post DA Facades,Yes,-287442.243890537,6699543.83315549
504,472,Jamiesons Autos,2022,11,"2010: 52.4, 2011: 47.4, 2012: 46.5, 2013: 48.2, 2014: 45.2, 2015: 40, 2016: 45.3, 2017: 41.6, 2018: 37.3, 2019: 33.7, 2020: 26.2, 2021: 28.7, 2022: 29, 2023: 25.8, 2024: 25.7",,29,USA 2009,Yes,-289697.065688815,6699318.40485888
505,496,385 Church Road Redfield,2022,12,"2014: 42, 2015: 39.3, 2016: 41.1, 2017: 41.1, 2018: 39.2, 2019: 33, 2020: 25, 2021: 25.9, 2022: 26.7, 2023: 22.9, 2024: 20.2",,26.7,Post Stage Four,Yes,-283206.866231794,6703121.26962694
506,512,Colston girls,2022,12,"2018: 47.6, 2019: 40.6, 2020: 30.7, 2021: 36.1, 2022: 36.2, 2023: 37.3, 2024: 36.6",,36.2,Schools 2018,Yes,-288456.602514821,6704385.03888425
507,567,Muller road/ Glenfrome road junction north,2022,12,"2019: 44, 2020: 41.3, 2021: 44.8, 2022: 43.2, 2023: 35.3, 2024: 34.4",,43.2,,Yes,-285740.541935235,6705873.67575955
508,600,Park St-CAZ-Lamppost by City Hall,2022,12,"2021: 23.9, 2022: 23.9, 2023: 22, 2024: 20.8",,23.9,CAZ,Yes,-289564.019228094,6701847.35983959
509,602,Anchor Road-CAZ-Lamppost,2022,9,"2021: 38, 2022: 42.7, 2023: 33.9, 2024: 33.5",,42.7,CAZ,Yes,-289325.884318505,6701524.85918933
510,613,Newfoundland St-CAZ-Lamppost by crossing,2022,12,"2021: 40.6, 2022: 42, 2023: 33.3, 2024: 32",,42,CAZ,Yes,-287980.610006261,6702978.27168877
511,614,Temple Way-CAZ-Sign by Champ Square,2022,11,"2021: 28.4, 2022: 29.4, 2023: 24.7, 2024: 23.4",,29.4,CAZ,Yes,-287657.873014804,6702691.69863677
512,615,Newfoundland Way-CAZ-Lamppost by petrol station,2022,10,"2021: 53, 2022: 49.4, 2023: 38.4, 2024: 37.1",,49.4,CAZ,Yes,-287432.768119981,6703197.92745018
513,616,Newfoundland Way-CAZ-Road sign,2022,10,"2021: 44, 2022: 42.5, 2023: 33.5, 2024: 29.5",,42.5,CAZ,Yes,-287292.1407964,6703245.63631137
514,628,Lower Ashley Rd-CAZ-Lamppost by Geo Jones,2022,12,"2021: 35.9, 2022: 33.2, 2023: 29.5, 2024: 28.6",,33.2,CAZ,Yes,-287056.42728548,6704240.40230617
515,637,Bath Rd-CAZ-Lamppost by Kings Road,2022,11,"2021: 21.7, 2022: 24.2, 2023: 17.1, 2024: 16.9",,24.2,CAZ,No,-284925.98213891,6699526.56389169
516,640,Lamb Street-CAZ-One way sign by Church,2022,12,"2021: 28.1, 2022: 27.1, 2023: 23.6, 2024: 22.3",,27.1,CAZ,No,-287214.987817026,6702606.87609025
517,644,Ashley Down Rd-CAZ-Lamppost,2022,11,"2021: 31.8, 2022: 31.7, 2023: 28.2, 2024: 25.1",,31.7,CAZ,Yes,-287423.539960366,6705469.93319363
518,645,Gloucester Rd-CAZ-Lamppost opp Baths,2022,11,"2021: 30.3, 2022: 28.9, 2023: 28.3, 2024: 27.3",,28.9,CAZ,Yes,-288456.08851493,6705713.93430328
519,646,Cheltenham Rd-CAZ-Post by Papa Johns,2022,12,"2021: 31.7, 2022: 31.7, 2023: 31.9, 2024: 30.3",,31.7,CAZ,Yes,-288436.842596843,6704319.32229724
520,648,Wells Rd-CAZ-Lamppost by Red Lion Carpets,2022,11,"2021: 29, 2022: 29.2, 2023: 25.3, 2024: 25.8",,29.2,CAZ,Yes,-285393.183673245,6697588.21041641
521,656,Stapleton Rd-CAZ-Lamppost,2022,11,"2021: 28.8, 2022: 27.3, 2023: 23.3, 2024: 21",,27.3,CAZ,No,-285079.844145574,6706041.09150418
522,664,Westbury Rd-CAZ-Lamppost by hospital,2022,12,"2021: 25.5, 2022: 24.8, 2023: 19.7, 2024: 21.3",,24.8,CAZ,No,-291154.66097586,6705262.57323216
523,671,North View Downs Park West,2022,11,"2021: 26.1, 2022: 23.5, 2023: 21.3, 2024: 20.8",,23.5,,Yes,-291110.796765422,6706530.90462922
524,676,Blackswarth Road Opposite St Patrick's School,2022,11,"2022: 19.8, 2023: 19, 2024: 16.1",,19.8,Liveable Neighbourhoods,Yes,-284103.338431866,6702586.01883236
525,681,Russel Town Avenue Opposite Pheonix Social Enterprise Club,2022,9,"2022: 24.8, 2023: 22.4, 2024: 21.7",,24.8,Liveable Neighbourhoods,Yes,-285306.399838492,6702978.44266594
526,525,Summer hill a420,2022,12,"2018: 43.5, 2019: 35.3, 2020: 24.1, 2021: 28.5, 2022: 29.8, 2023: 24.8, 2024: 23.2",,29.8,Schools 2018,Yes,-282952.907378995,6703230.79423347
527,439,Parson Street School,2022,36,"2010: 41.9, 2011: 40.9, 2012: 40.9, 2013: 44.7, 2014: 42, 2015: 41, 2016: 43.6, 2017: 37.7, 2018: 37.7, 2019: 31.7, 2020: 25.4, 2021: 28.6, 2022: 27.2, 2023: 24, 2024: 22.4",,27.2,QAQC,Yes,-289982.448521423,6698188.87869929
528,423,facade BRI children's,2022,12,"2010: 53, 2011: 53.2, 2012: 50.9, 2013: 46.3, 2014: 41.8, 2015: 44.4, 2016: 43.5, 2017: 45, 2018: 42.3, 2019: 35.2, 2020: 27.3, 2021: 29.5, 2022: 29.1, 2023: 22.2, 2024: 20.9",,29.1,Post DA Facades,Yes,-289088.725742146,6702699.40590324
529,406,Whitehall Rd lamppost 17 nr juction with Chalks Rd,2022,11,"2010: 48.1, 2011: 37.5, 2012: 36.5, 2013: 36.5, 2014: 34.9, 2015: 35.4, 2016: 36.2, 2017: 38.9, 2018: 38.5, 2019: 31, 2020: 26.6, 2021: 29.3, 2022: 29.6, 2023: 24.2, 2024: 23.2",,29.6,Post DA Facades,Yes,-284362.720936092,6703411.38989974
530,373,123 Newfoundland Street façade,2022,10,"2010: 53, 2011: 47.9, 2012: 44.9, 2013: 45.2, 2014: 41.6, 2015: 38.3, 2016: 39.5, 2017: 38.5, 2018: 35.7, 2019: 31.2, 2020: 23.9, 2021: 27.9, 2022: 27.4, 2023: 22.3, 2024: 21.5",,27.4,BROADMEAD,Yes,-287292.865269621,6703337.20318085
531,303,Facade   784 Muller Road Fishponds,2022,12,"2010: 55.4, 2011: 52.1, 2012: 48.5, 2013: 48.2, 2014: 43.5, 2015: 46.1, 2016: 46.2, 2017: 44, 2018: 43.8, 2019: 36.5, 2020: 29.2, 2021: 31.8, 2022: 31.2, 2023: 24.1, 2024: 23.3",,31.2,Post Stage Four,Yes,-284712.640975304,6705600.36391359
532,22,Stokes Croft,2022,10,"2010: 68.2, 2011: 58.7, 2012: 55.3, 2013: 57.7, 2014: 55.3, 2015: 49.7, 2016: 54.4, 2017: 52.5, 2018: 51, 2019: 44.3, 2020: 34.3, 2021: 37.5, 2022: 36.7, 2023: 35.9, 2024: 34.4",,36.7,Roadside (DT),Yes,-288316.547788833,6703508.93195795
533,21,Gloucester Road,2022,12,"2010: 50.1, 2011: 44.5, 2012: 43.1, 2013: 52, 2014: 50.4, 2015: 51.6, 2016: 50.2, 2017: 49.3, 2018: 46.4, 2019: 38.3, 2020: 33.4, 2021: 34.9, 2022: 34, 2023: 30.9, 2024: 33",,34,Roadside (DT),Yes,-288453.491473036,6705789.48523368
534,16,Third Way,2022,12,"2010: 35.1, 2011: 35.8, 2012: 36.4, 2013: 33.3, 2014: 34.6, 2015: 35.9, 2016: 35.7, 2017: 35.2, 2018: 32.6, 2019: 28.7, 2020: 23.2, 2021: 24.9, 2022: 25.8, 2023: 21.5, 2024: 21.5",,25.8,Roadside (DT),No,-299319.725243601,6711147.03571026
535,113,Victoria Street,2022,12,"2010: 53.9, 2011: 55.2, 2012: 51.8, 2013: 48.4, 2014: 48.8, 2015: 47.5, 2016: 45.5, 2017: 49.9, 2018: 40.5, 2019: 37.4, 2020: 29.9, 2021: 27.8, 2022: 32, 2023: 29.4, 2024: 28.3",,32,redcliffe way templegate (DT),No,-288062.502763533,6701599.37177948
536,154,Hotwells Road,2022,12,"2010: 54.7, 2011: 40.9, 2012: 40.3, 2013: 44.3, 2014: 38.5, 2015: 37.2, 2016: 39.6, 2017: 38.5, 2018: 36.2, 2019: 30, 2020: 22.1, 2021: 25.4, 2022: 26.1, 2023: 17.8, 2024: 17.5",,26.1,harbourside (DT),Yes,-290714.010739251,6701235.48836649
537,239,Parson St. A38 East,2022,10,"2010: 81.3, 2011: 82, 2012: 76.9, 2013: 78, 2014: 65.4, 2015: 69.2, 2016: 68.9, 2017: 66.8, 2018: 65.2, 2019: 54.4, 2020: 47.6, 2021: 51.4, 2022: 48.6, 2023: 40.5, 2024: 38.1",,48.6,Roadside Stage 4 (DT),Yes,-290240.840052813,6698064.71461172
538,254,Merchants Road Hotwells,2022,12,"2010: 47.1, 2011: 55.6, 2012: 55.3, 2013: 53.2, 2014: 51.5, 2015: 54.4, 2016: 51.8, 2017: 52.2, 2018: 49.4, 2019: 40.5, 2020: 31.1, 2021: 34.6, 2022: 33, 2023: 24.7, 2024: 23.9",,33,Roadside Stage 4 (DT),Yes,-291486.964634959,6701142.24890875
539,312,Lamppost     Ashley Hill St. Pauls,2022,12,"2010: 46.8, 2011: 46.4, 2012: 43.7, 2013: 44.5, 2014: 36.7, 2015: 36.8, 2016: 41.6, 2017: 38.5, 2018: 38.5, 2019: 32.8, 2020: 26.2, 2021: 29.5, 2022: 29.8, 2023: 24.8, 2024: 23.5",,29.8,Post Stage Four,Yes,-287167.355516468,6704691.02392647
540,429,facade villiers road stapleton road junction,2022,9,"2010: 60.3, 2011: 57.8, 2012: 57.3, 2013: 60.6, 2014: 54.7, 2015: 50.4, 2016: 52.1, 2017: 47.8, 2018: 46.8, 2019: 41.2, 2020: 38.8, 2021: 36.4, 2022: 35.5, 2023: 38, 2024: 35.3",,35.5,Post DA Facades,Yes,-286116.033413056,6703865.40916925
541,473,B&G Snax West St,2022,11,"2010: 49.2, 2011: 43.1, 2012: 44.6, 2013: 43.5, 2014: 40.7, 2015: 49.6, 2016: 57.1, 2017: 40.1, 2018: 44, 2019: 42.4, 2020: 40, 2021: 28.4, 2022: 28.4, 2023: 26.1, 2024: 25.7",,28.4,USA 2009,Yes,-289888.728777705,6699059.90410014
542,499,Temple Way Nox site,2022,36,"2017: 38.5, 2018: 43.2, 2019: 33.6, 2020: 26, 2021: 31.1, 2022: 30.9, 2023: 26.2, 2024: 23.9",,30.9,QAQC,Yes,-287648.349706948,6702703.01974867
543,502,Co-located Colston Ave,2022,28,"2019: 68.7, 2020: 52.1, 2021: 58, 2022: 54.1, 2023: 48.9, 2024: 50.8",,54.1,QAQC,Yes,-289057.625324914,6702224.17268152
544,589,Marlborough St-CAZ-On sign leg,2022,12,"2021: 26.5, 2022: 27.2, 2023: 21.8, 2024: 20",,27.2,CAZ,Yes,-288729.503590925,6703055.75489532
545,598,Queens Road-CAZ-Lamppost by UoB,2022,10,"2021: 26.9, 2022: 26.8, 2023: 21.3, 2024: 22.3",,26.8,CAZ,Yes,-289986.417851309,6702364.31518982
546,607,Counterslip-CAZ-Drainpipe on building,2022,12,"2021: 27.8, 2022: 28.4, 2023: 23.3, 2024: 21.4",,28.4,CAZ,Yes,-288184.320609915,6701807.20015473
547,608,Temple Gate-CAZ-Lamppost,2022,10,"2021: 39.4, 2022: 38.4, 2023: 31.9, 2024: 32",,38.4,CAZ,Yes,-287568.73913653,6700951.23571188
548,638,A4044 Roundabout-CAZ-Lamppost,2022,12,"2021: 43.8, 2022: 42.4, 2023: 44.8, 2024: 41.6",,42.4,CAZ,Yes,-287683.770684242,6702322.02309257
549,641,Stokes Croft-CAZ-Lamppost,2022,12,"2021: 39.7, 2022: 38.1, 2023: 36.8, 2024: 34.7",,38.1,CAZ,Yes,-288310.098556115,6703703.38260294
550,643,Sussex Place-CAZ-Lamppost,2022,12,"2021: 39.7, 2022: 35.6, 2023: 28.8, 2024: 25.4",,35.6,CAZ,Yes,-287188.664301657,6704345.39763805
551,647,Merchants Rd-CAZ-Lamppost by house,2022,9,"2021: 34.3, 2022: 30.9, 2023: 22.9, 2024: 23",,30.9,CAZ,Yes,-291476.961493929,6701095.75626459
552,2,Colston Avenue,2022,11,"2010: 79.4, 2011: 78.8, 2012: 66.8, 2013: 68.7, 2014: 67.7, 2015: 69.2, 2016: 66.1, 2017: 63.1, 2018: 58.2, 2019: 53.7, 2020: 36.9, 2021: 40.1, 2022: 40.3, 2023: 39, 2024: 38.4",,40.3,Roadside (DT),Yes,-289075.818144399,6702097.12495681
553,649,Bath Rd-CAZ-Lamppost,2022,12,"2021: 30.1, 2022: 30, 2023: 27.1, 2024: 24.7",,30,CAZ,Yes,-283502.470401424,6698278.49155093
554,650,Wells Rd-CAZ-Lamppost,2022,12,"2021: 22.8, 2022: 21.6, 2023: 19.3, 2024: 19.6",,21.6,CAZ,No,-285535.730462454,6698009.34601773
555,653,Stapleton Rd-CAZ-Lamppost by house,2022,8,"2021: 26, 2022: 30.9, 2023: 33.5, 2024: 26.2",,30.9,CAZ,Yes,-286066.821662899,6703925.23954705
556,669,Temple Way Bridge-CAZ-Lamppost Temple Way Bridge,2022,8,"2021: 28.6, 2022: 33.2, 2023: 29.7, 2024: 22",,33.2,CAZ,Yes,-287657.960147146,6701695.77765519
557,670,Bristol Hill-CAZ-Lamppost Bristol Hill,2022,12,"2021: 39.9, 2022: 38.8, 2023: 32.8, 2024: 33.1",,38.8,CAZ,Yes,-284047.915620127,6698409.25865614
558,9,B.R.I.,2022,12,"2010: 65.4, 2011: 58, 2012: 52, 2013: 54, 2014: 49.3, 2015: 48, 2016: 48.8, 2017: 46.5, 2018: 44.7, 2019: 37.8, 2020: 31.7, 2021: 39.3, 2022: 36, 2023: 27.8",,36,Roadside (DT),No,-288920.3727828,6702882.30805318
559,157,Stokes Croft  Ashley Road,2022,8,"2010: 64.9, 2011: 61.8, 2012: 55.9, 2013: 56, 2014: 51.4, 2015: 53.3, 2016: 52.8, 2017: 48.6, 2018: 45.4, 2019: 43.1, 2020: 35.7, 2021: 40.3, 2022: 35, 2023: 35.2, 2024: 33.7",,35,gloucester road showcase route (DT),Yes,-288303.158453479,6703836.78908709
560,163,Strathmore Road,2022,12,"2010: 44.8, 2011: 38.3, 2012: 38.8, 2013: 43, 2014: 39.1, 2015: 37, 2016: 39.7, 2017: 38, 2018: 36.6, 2019: 30.8, 2020: 24.5, 2021: 27.4, 2022: 27.2, 2023: 27.2, 2024: 25.7",,27.2,gloucester road showcase route (DT),Yes,-287828.657779616,6707832.48413925
561,370,Great George Street lamppost,2022,12,"2010: 49.2, 2011: 43.7, 2012: 39.5, 2013: 39.4, 2014: 36.9, 2015: 37.7, 2016: 38.4, 2017: 37.5, 2018: 36.6, 2019: 30.1, 2021: 25, 2022: 31, 2023: 25.3, 2024: 21.2",,31,BROADMEAD,Yes,-287244.687317758,6702918.28830893
562,419,Parson St lamppost outside Bristol Scuba,2022,11,"2010: 63.2, 2011: 54.7, 2012: 54.1, 2013: 53.6, 2014: 56.6, 2015: 53.6, 2016: 55.8, 2017: 51.3, 2018: 45, 2019: 39, 2020: 31.4, 2021: 34.3, 2022: 33.6, 2023: 29.4, 2024: 28.5",,33.6,Post DA Facades,Yes,-290320.090688617,6698353.05372706
563,455,St. Pauls Day Nursery,2022,36,"2010: 34.8, 2011: 30, 2012: 29.5, 2013: 30.1, 2014: 27.3, 2015: 26.5, 2016: 27.9, 2017: 26, 2018: 24.4, 2019: 20.8, 2020: 15.9, 2021: 16.4, 2022: 16.7, 2023: 14.3, 2024: 13.8",,16.7,QAQC,Yes,-287711.369865179,6703574.84926661
564,470,Victoria Park Primary,2022,12,"2010: 43.3, 2011: 39.4, 2012: 39.6, 2013: 37.8, 2014: 35, 2015: 38.7, 2016: 39.4, 2017: 35.9, 2018: 37.9, 2019: 29.4, 2020: 25.1, 2021: 26.8, 2022: 28.3, 2023: 24.2, 2024: 21.7",,28.3,USA 2009,Yes,-288112.730275877,6698870.47455211
565,494,Muller Road - Adjacent to Darnley Avenue,2022,12,"2015: 37.5, 2016: 43.3, 2017: 39.5, 2018: 38.7, 2019: 32, 2020: 25.1, 2021: 25, 2022: 26.4, 2023: 22.5, 2024: 21.6",,26.4,Horfield Roadside,Yes,-287635.002115621,6708277.69693354
566,545,Ashton park school,2022,12,"2018: 34.9, 2019: 28.6, 2020: 22, 2021: 24.3, 2022: 23.3, 2023: 17.2, 2024: 16.3",,23.3,Schools 2018,Yes,-292657.041091682,6699537.53576006
567,571,Muller road junction with Downend road traffic light to the south of the junction.,2022,12,"2019: 42.8, 2020: 31.3, 2021: 33.1, 2022: 32.3, 2023: 28.4, 2024: 28.8",,32.3,,Yes,-287164.493543001,6707575.77869199
568,574,"Whiteladies road, on loading sign next to Redland library",2022,11,"2020: 27.3, 2021: 28.9, 2022: 29.6, 2023: 25.8, 2024: 24.4",,29.6,,Yes,-290613.993813206,6704041.12007481
569,579,Church Road-CAZ-Lamppost,2022,12,"2021: 35.4, 2022: 32.2, 2023: 27.2, 2024: 25.8",,32.2,CAZ,Yes,-283363.406391227,6703055.84193516
570,586,Park St-CAZ-Lamppost by Agora,2022,7,"2021: 38.6, 2022: 41.8, 2023: 32.6, 2024: 36.4",,41.8,CAZ,Yes,-289769.578448062,6702102.67013239
571,593,Upper Maudlin St-CAZ-Post by BRI,2022,8,"2021: 35.2, 2022: 36.3, 2023: 24.8, 2024: 23.8",,36.3,CAZ,Yes,-289109.082997795,6702641.40846616
572,605,Rupert St-CAZ-Post by Courtrooms,2022,8,"2021: 32.4, 2022: 30.2, 2023: 23.6, 2024: 29.1",,30.2,CAZ,Yes,-288934.452005463,6702445.24819481
573,609,Bath Road-CAZ-Lamppost or sign,2022,12,"2021: 30.2, 2022: 30.4, 2023: 25.2, 2024: 24.9",,30.4,CAZ,Yes,-287283.012853419,6700674.05923594
574,622,Bedminster Rd-CAZ-Lamppost opp school,2022,12,"2021: 33.7, 2022: 34.3, 2023: 29.7, 2024: 27.5",,34.3,CAZ,Yes,-289955.425769149,6698213.18559292
575,660,Muller Rd-CAZ-Lamppost,2022,11,"2021: 32.1, 2022: 32.4, 2023: 28.1, 2024: 27.7",,32.4,CAZ,Yes,-285470.8712225,6705822.73283643
576,663,Whiteladies Rd-CAZ-Lamppost after petrol station,2022,12,"2021: 24.7, 2022: 25.9, 2023: 22.4, 2024: 20.8",,25.9,CAZ,No,-291073.023746753,6704892.06966416
577,679,Avonvale Road Opposite Bristol Futures Academy,2022,8,"2022: 21, 2023: 20.3, 2024: 21.4",,21,Liveable Neighbourhoods,Yes,-285061.452562614,6702165.8846374
578,559,Except local buses sign Blackmoors Lane,2022,10,"2019: 29, 2020: 19.8, 2021: 24.5, 2022: 24.2, 2023: 20.4, 2024: 20",,24.2,2019,Yes,-292489.258406958,6699770.21822176
579,260,Stapleton Road South,2022,12,"2010: 52.9, 2011: 52.8, 2012: 45.8, 2013: 46.5, 2014: 46.3, 2015: 45.6, 2016: 45.4, 2017: 42.6, 2018: 43.1, 2019: 36.2, 2020: 29.5, 2021: 33.2, 2022: 31.6, 2023: 26.5, 2024: 26",,31.6,Roadside Stage 4 (DT),Yes,-285080.464366343,6705912.52183786
580,307,Lamppost     Glenfrome Road \ Muller Road Horfield,2022,10,"2010: 46.6, 2011: 41.5, 2012: 39.5, 2013: 39.8, 2014: 38.4, 2015: 36.6, 2016: 37.4, 2017: 32.6, 2018: 37.3, 2019: 30.7, 2020: 24.6, 2021: 27.5, 2022: 26.8, 2023: 24.5, 2024: 21.6",,26.8,Post Stage Four,Yes,-285709.878701319,6705846.59411472
581,403,Lamp post 48 230 Bath Road,2022,12,"2010: 46.5, 2011: 43.9, 2012: 43.6, 2013: 46.6, 2014: 39.2, 2015: 41.5, 2016: 37.5, 2017: 35.7, 2018: 35.6, 2019: 28.1, 2020: 23.4, 2021: 25.5, 2022: 25.5, 2023: 20.2, 2024: 20.6",,25.5,Post DA Facades,Yes,-286047.399122808,6699977.1677698
582,405,Whitehall Rd/Easton Rd lamppost 4TZ,2022,11,"2010: 57.8, 2011: 58, 2012: 53.1, 2013: 55, 2014: 51.1, 2015: 53.1, 2016: 42.6, 2017: 50.4, 2018: 56.2, 2019: 48.5, 2020: 38.7, 2021: 40.4, 2022: 38, 2023: 33.5, 2024: 33.6",,38,Post DA Facades,Yes,-285203.139777754,6703303.7524392
583,420,North St/Dean Lane on roundabout sign,2022,10,"2010: 43.8, 2011: 39.6, 2012: 38.1, 2013: 38.9, 2014: 37.2, 2015: 36.7, 2016: 38.6, 2017: 33.3, 2018: 37.1, 2019: 30.4, 2020: 23.2, 2021: 25.6, 2022: 28.8, 2023: 23.7, 2024: 22.3",,28.8,Post DA Facades,Yes,-289619.048853516,6699765.46194782
584,438,A37 Junction w/ Airport Road,2022,34,"2010: 48, 2011: 47.7, 2012: 43.4, 2013: 43.5, 2014: 44, 2015: 43.1, 2016: 43.4, 2017: 43.2, 2018: 36.6, 2019: 31.8, 2020: 27.1, 2021: 29, 2022: 29.4, 2023: 25, 2024: 23.2",,29.4,QAQC,Yes,-285394.401951542,6697329.73212812
585,550,Cathedral School,2022,10,"2018: 36.9, 2019: 35.1, 2020: 21.1, 2021: 29.1, 2022: 29.4, 2023: 24.7, 2024: 21.9",,29.4,Schools 2018,Yes,-289511.138807,6701454.27154767
586,585,Park St-CAZ-Lamppost by Guild,2022,10,"2021: 30.5, 2022: 32.1, 2023: 24.7, 2024: 29.9",,32.1,CAZ,Yes,-289774.806693865,6702154.02892728
587,604,Lewins Mead-CAZ-Post by PMT,2022,12,"2021: 43, 2022: 43.1, 2023: 39, 2024: 35.4",,43.1,CAZ,Yes,-288777.341558518,6702631.26286131
